ID,SU
-,sajabana
-,dahdir
-,maenya
-,kapalang
-,ari
abad,
abadi,langgeng
abang,akang
abu,lebu
abu-abu,dawuk
acak,awut
acara,
acaranya,acarana
ada,aya
adalah,nyaéta
adanya,ayana
adapun,sedengkeun
adegan,
adik,adi
adil,
adu,
adu,abén
agak,rada
agama,ageman
agamanya,agamana
agar,ambéh
agenda,agénda
agung,
agustus,
ahad,
ahli,
air,cai
airmatanya,cipanonna
aja,waé
ajak,
ajakan,
ajaran,
ajudan,
akal,uteuk
akan,bakal
akan,baris
akar,
akhir,ahir
akhirat,ahérat
akhirnya,ahirna
akhirnya,pamustunganana
akibat,alatan
akibat,balukar
akibatnya,balukarna
akibatnya,matakna
aksara,
akses,aksés
aksesnya,aksésna
aksi,
aksinya,aksina
aktif,aktip
aktifkan,aktipkeun
aktivitasnya,kagiatanana
aku,kuring
akun,rekening
akur,
alam,
alamat,
alamatnya,alamatna
alasan,alesan
alasan,ékol
alasannya,alesanna
alat,pakakas
album,albeum
alias,landian
alih,
alis,halis
alkohol,
alu,halu
aman,
amanah,amanat
amanat,
amarah,
amati,titénan
ambil,cokot
amblas,ambles
ambulans,ambulan
ampas,hampas
amplop,
amunisi,
anak,pecil
anak,cucu
anak,anak
anak-anak,barudak
anakku,anaking
anaknya,anakna
analisis,
ancaman,anceman
ancamnya,ancemna
ancang-ancang,awahan
anda,anjeun
aneh,ahéng
aneh-aneh,ararahéng
aneka,rupa-rupa
anggapan,
anggaran,
anggota,
anggotanya,anggotana
angin,
angin,angin
angka,
angkasa,jomantara
angkatan,
angklung,
angsa,soang
aniaya,kaniaya
animasi,
anjing,
antara,antara 
antaranya,antarana
anti,
anting,kurabu
antri,ngantay
antri,untuy
anugerah,kasinugrahan
anugrah,kasinugrahan
anus,bool
apa,naon
apa-apa,nanaon
apabila,lamun
apakah,naha
apakan,naonkeun
apalagi,upadi
apalagi,angot
apalagi,sumawona
apapun,naon ogé
aparat,
api,seuneu
apit,hapit
apotek,apoték
apotik,apoték
april,
arah,
arahan,
area,wewengkon
arena,aréna
armada,
arsip,
arsitek,arsiték
arti,harti
artikel,
artinya,hartina
arus,
asal,
asalnya,asalna
asap,haseup
asas,
asasi,
ashar,asar
asin,
asing,
asing,deungeun
asli,
asli,pituin
aslinya,aslina
asma,mengi
aspal,
aspek,aspék
asrama,
asri,
asyik,uplek
atap,hateup
atas,luhur
atasannya,saluhureunana
atasnya,luhurna
atau,atawa
ataukah,atawa
ataupun,atawa
atlet,atlét
aturan,
awal,mimiti
awalnya,mimitina
awalnya,awalna
awas,kadé
awet,awét
awut-awutan,pabaliut
ayah,abah
ayahnya,bapana
ayam,hayam
ayam,kotok
ayat,
ayo,hayu
bab,
babak,
babakan,
baca,maca
bacaan,
bada,sabada
badan,awak
badan,
badannya,awakna
bagaikan,kawas
bagaikan,lir
bagaimana,kumaha
bagaimanapun,kumaha ogé
bagi,pasi
bagi,bagé
bagi,pikeun
bagian,
bagus,alus
bahagia,bagja
bahan,
bahasa,basa
bahasanya,basana
bahkan,komo
bahwa,yén
baik,alus
baiklah,mangga
baiknya,alusna
bait,pada
baja,waja
bajakan,bajoan
bajigur,
baju,kaway
baju,acuk
baju,
bakal,bakal
bakalan,bakal
bakar,huru
bakar,duruk
bakar,beuleum
bakat,
bakti,baktos
bakul,boboko
balai,balé
balas,bales
balasan,balesan
balik,
baling-baling,kolécér
bambu,awi
bandel,liwar
banding,
banget,pisan
bangga,agul
bangga,reueus
bangganya,reueusna
bangkai,bugang
bangkit,ngoréjat
bangsa,
bangunan,wangunan
banjir,caah
bank,
banteng,banténg
banting,beubeut
banting,
bantingan,
bantu,
bantuan,
banyak,réa
banyak,loba
banyaknya,lobana
bapak,bapa
bapaknya,bapana
barang,
barangkali,sugan
barat,kulon
bareng,bareng
baret,barét
baris,jajar
baru,anyar
barunya,anyarna
barusan,cikénéh
basah,baseuh
basi,bari
basis,
basket,baskét
baso,
batal,bedo
batalkan,batalkeun
batang,
batas,wates
batasan,watesan
batu,
batuk-batuk,ngohkoh
bau,ambeu
bawa,
bawah,handap
bawang,
bayang-bayang,kalangkang
bayangkan,bayangkeun
bayarannya,bayaranana
bayi,orok
beban,beungbeurat
bebas,bébas
bebas,leupas
bebek,éntog
beber,dadar
beberapa,sababaraha
beberapa,sawatara
becek,bécék
becek,jeblog
beda,béda
beda,kacek
beda/berubah,géséh
bedak,wedak
bedanya,bédana
bedug,
bedugnya,bedugna
begini,kieu
begitu,kitu
begitulah,kitu pisan
bejat,bejad
bekal,bekel
bekas,urut
bekas,ruruntuk
bekasi,
bekerja,digawé
bekerjanya,damelna
bekerjasama,migawé bareng
belajar,diajar
belaka,wungkul
belakang,tukang 
belakangan,pandeuri 
belakangnya,tukangeunana
belalang,simeut
belanja,balanja
belasan,welasan
belepotan,lambokot
belerang,walirang
beli,beuli
beliau,anjeunna
belikat,walikat
belok,méngkol
belulang,sanggal
belum,tacan
belut,
benar,bener
benarnya,benerna
bencana,musibah
benci,ceuceub
benci,cua
benci,giruk
benda,barang
bendera,bendéra
bener,
bengkak,bareuh
bengkok,béngkok
bengong,hookeun
benih,binih
bening,wening
bening,hérang
bentol-bentol,baréntol
bentuk,wangun
bentukan,jieunan
bentuknya,bentukna
bepergian,ancrud
bepergian,ngaber
bepergian,indit-inditan
berada,aya
beradu,diadu
beragam,rupa-rupa
beragama,ngagem agama
berair,caian
berak,ngising
berak,éé
berakhir,lekasan
beraksi,boga aksi
beralih,pindah
berambut,rambutan
beranak,boga anak
berandal,baragajul
berangkat,indit
berani,wani
berani,ludeung
berantakan,bakrek
berantakan,bacacar
berantem,garelut
berapa,sabaraha
berapi,seuneuan
berarti,hartina
berarti,hartosna
beras,béas
berasal,asalna
berat,beurat
beratnya,abotna
berayun,gulawing
berayun-ayun,ngagabig
berbagai,sagala rupa
berbagi,babagi
berbahaya,picilakaeun
berbakti,bakti
berbalik,malik
berbantah,hoghag
berbantahan,padungdengan
berbarengan,babarengan
berbaring,ngedeng
berbaring,ngebog
berbaring,ngagolér
berbaris,ngajajar
berbau,kaangseu
berbayar,kudu mayar
berbeda,béda
berbekal,mawa bekel
berbelok-belok,arileu
berbentuk,ngawangun
berbicara,nyarita
berbicara,ngomong
berbisik,ngaharéwos
berbisnis,babalantik
berbondong-bondong,ngabrul
berbuat,migawé
berburu,moro
bercakap-cakap,ngobrol
bercampur,galo
berceceran,awér
berceceran,bayabah
bercengkrama,macangkrama
bercerai,pirak
bercerita,nyaritakeun
bercermin,ngeunteung
bercocok-tanam,tataman
berdandan,dangdan
berdarah,getihan
berdasar,dumasar
berdasarkan,dumasar
berdatangan,daratang
berdatangan,rajol
berdecak,macrek
berdehem,ngadéhém
berdekatan,padeukeut
berdelapan,dalapanan
berdering,ngirining
berdesing,ngahieng
berdiang,ngadéang
berdikari,macakal
berdiri,nangtung
berdiskusi,sawala
berdua,duaan
berduaan,paduduaan
berdurasi,boga durasi
berduyun-duyun,nakleuk
berebutan,pagorényang
beredar,medar
beredarnya,medarna
berempat,opatan
berenam,genepan
berenang,ngojay
berencana,boga rencana
beres,bérés
berformat,boga format
berfungsi,boga fungsi
bergabung,ngagabung
berganti,baganti
bergantian,gunta-ganti
bergantung,ngagantung
bergayut,burayot
bergelar,boga gelar
bergerak,usik
bergerigi,rérégéan
bergerombol,noyék
bergeser,menggok
bergidik,ngabirigidig
bergulir,ngagulundung
berguman,ngagereyem
bergumpal,ngadagleg
bergumul,muket
berguna,kapaké
berguncang,inggeung
berhadapan,pahareup-hareup
berhak,ngabogaan hak
berharap,ngaharepkeun
berhasil,laksana
berhasil,junun
berhasrat,boga hasrat
berhenti,eureun
berhenti,ngandeg
berhentilah,eureun
berhimpitan,padempét
berhubungan,nyambung
beri,béré
berikan,bikeun
berikut,katut
berikutnya,saterusna
berimanlah,iman
beringas,buringas
berisi,eusina
berisi,beuneur
berita,warta
berjaga,ngajaga
berjaga-jaga,ngajaga-jaga
berjalan,leumpang
berjanji,jangji
berjongkok,ngangkog
berjuang,bajoang
berjudul,dijudulan
berjumpa,paamprok
berjuntai,rambay
berjuntai,ngambay
berkaitan,patula-patali
berkali-kali,sababaraha-kali
berkarakter,boga sipat
berkas,
berkata,ngomong
berkecimpung,ancrub
berkedip,ngiceup
berkelahi,tarung
berkelahi,galungan
berkelana,ngalalana
berkeluh-kesah,rumahuh
berkembang,ngembang
berkerumun,rogrog
berkesempatan,boga kasempetan
berkesinambungan,sinambungan
berkibar,ngahibar
berkibarnya,hibarna
berkilauan,ngempur
berkisah,nyaritakeun
berkomentar,ngoméntaran
berkorban,ngorbankeun
berkuasa,ngawasa
berkumpul,ngariung
berkumpul,jarumpluk
berkumpul,ngariung
berkumpulnya,ngariungna
berkunjung,nganjang
berkurang,ngurangan
berlainan,nu béda
berlaku,lumaku
berlandaskan,dumasar kana
berlangsung,lumangsung
berlanjut,nerus
berlari,lumpat
berlarian,lulumpatan
berlatih,latihan
berlayar,balayar
berlebihan,kaleuleuwihan
berlepotan,caremot
berlima,limaan
berlipat,ngalipet
berlisensi,boga lisénsi
berlomba-lomba,paheula-heula
berlutut,deku
bermain,ulin
bermaksud,boga maksud
bermanfaat,méré mangpaat
bermigrasi,pindah
berminyak,lucir
bermuara,ngamuara
bermuatan,boga muatan
bermula,dimimitian
bermunculan,padamucunghul
bernama,ngaranna
bernapas,dami
berniaga,babalantik
berniat,boga niat
bernyanyi-nyanyi,karakawihan
berolahraga,ngolah raga
berpegang,nyekelan
berpendapat,boga pamadegan
berpengalaman,boga pangalaman
berpenghuni,dicicingan
berperilaku,milampah
berpesan,nalatahan
berpikir,mikir
berpindah,pindah
berpoligami,ngawayuh
berposisi,boga posisi
berpoténsi,boga poténsi
berpuasa,puasa
berputar,muter
bersahabat,soméah
bersahutan,patémbalan
bersalah,boga salah
bersama,babarengan
bersama-sama,babarengan
bersamaan,babarengan
bersatu,ngahiji
bersaudara,duduluran
bersebelahan,nyabeulahan
bersedia,daék
bersembilan,salapanan
bersembunyi,dempés
bersembunyi,nyumput
bersenggolan,pagilinggisik
bersenjata,nyekel pakarang
bersepuluh,sapuluhan
berserah,sumerah
berserakan,ambacak
berserakan,mayak
bersifat,boga sipat
bersih,
bersimpuh,andeprok
bersinar-sinar,marahmay
berskala,boga skala
bersoraklah,sarurak
bersujud,sumujud
bersungut-sungut,ngutruk
bertabrakan,tabrakan
bertahan,tahan
bertambah,nambahan
bertamu,natamu
bertandang,nyimpang
bertanding,tanding
bertanggung,tanggung
bertanggungjawab,tanggung jawab
bertanya,nanya
bertanya-tanya,nanya-nanya
bertata,boga tata
bertelepon,nelepon
berteman,ngabatur
bertemu,papanggih
bertemunya,paamprokna
bertengkar,paraséa
bertengkar,pecoh
bertentangan,teu saluyu
bertepatan,pas pisan
berterbangan,rabeng
berteriak,ceuceuleuweungan
berterimakasih,nganuhunkeun
bertiga,tiluan
bertolak,indit
bertolak-belakang,patukang-tonggong
bertugas,ngabogaan tugas
bertujuan,boga tujuan
bertujuh,tujuhan
berubah,robah
berudu,buruy
berujung,boga tungtung
berukuran,ukuranana
berulang-ulang,deudeuieun
berumput,jukutan
beruntung,nanjung
beruntung,boga untung
berupa,mangrupa
berupaya,narékahan
berurutan,runtuy
berusaha,usaha
berusia,umurna
berutang,nganjuk
bervariasi,variatif
berwarna,boga warna
berwatak,miboga watek
besan,warang
besar,badag
besar,gedé
besar,rongkah
besar-besaran,gegedéan
besarnya,gedéna
besarnya,badagna
beserta,bareng
beserta,reujeung
besi,beusi
besok,isuk
besok,isukan
betah,
betis,bitis
betul,bener
betul-betul,enyaan
biar,kajeun
biarkan,ingkeun
biasa,dawam
biasanya,biasana
biaya,waragad
biayanya,biayana
bibi,bibi
bibinya,bibina
bibir,biwir
bicara,ngomong
bicaranya,ngomongna
bidang,widang
bidik,kécéng
bidikan,kécéngan
bijaksana,wijaksana
bijan,wijén
biji,siki
bikin,nyieun
bila,lamun
bilang,ngomong
bilateral,
binatang,sato
bingung,katalimbeng
bingung,
bintang,béntang
bintara,
biru,bulao
bisa,wudu
bisa,bisa
bisik,haréwos
bisnis,
bisu,pégo
blak-blakan,togmol
blognya,blogna
blok,
bobol,bobok
bobot,momot
bocah,budak
bocor,
bodoh,belet
bogem,peureup
bohong-bohongan,wawadukan
bola,bal
boleh,kaci
bolong,tosblong
bolos,mangkir
bolos,
borong,bajong
boros,awuntah
bosan,bosen
brigade,
buah,
buahnya,buahna
buang,piceun
buatan,jieunan
buatan,jieunan
buaya,
bubar,buyar
bubungan,wuwungan
budaya,
bukan,lain
bukankah,lainna
bukanlah,lain
bukannya,lainna
bukit,pasir
bukti,
buku,
bukunya,bukuna
bulan,bulan 
bulanan,
bulat,buleud
bulutangkis,badminton
bumbu,samara
bumi,
buncit,gendol
bunda,indung
bundaran,bunderan
bunga,kembang
bungkam,bungkem
bungkam,balem
bungkuk,bongkok
bungkus,bulen
bungkus,tungkus
bungkus,
bungkusnya,bungkusna
bungsu,bungsu
bunyi,sada
buram,reueuk
bursa,
buruh,
buruk,goréng
burung,manuk
bus,beus
buta,lolong
butek,
butuh,perlu
butuhnya,perluna
buyar,puyar
cabai,cabé
cabang,
cacat,cacad
cadangan,sérép
cadangan,anco
cahaya,cahya
cair,éncér
cakap,rancagé
cakar,koét
cakupan,wengkuan
calon,
cambuk,pecut
campur,
campuran,
canggung,kaku
cangkul,pacul
cantik,geulis
caping,dudukuy
capung,papatong
cara,
cara,lingger
caranya,carana
cari,téang
catatan,catetan
cebok,isang
cedera,tatu
cegukan,sisidueun
cek,cék
cekung,kewung
celana,calana
celoteh,ngeceblek
cemberut,kuraweud
cemberut,bangkerut
cemburu,timburu
cenderung,condong
cengeng,épés méér
cepat,gancang
cepat-cepat,buru-buru
cepatlah,geuwat 
cerdas,calakan
cerewet,céréwét
ceria,marahmay
cerita,carita
ceriwis,ciriwis
cermin,eunteung
cetak,citak
cetakan,citakan
cetaknya,citakna
cibir,jebi
cincin,lélépén
cinta,tresna
cinta,
cinta,asih
cintai,cinta
ciprat,sebrét
ciprat,sebrut
ciprat,sebrot
cipta,
citra,wangwangan
ciut,ngeleper
coba,
cocok,cocog
coklat,
colok,
contoh,conto
contohnya,contona
copot,coplok
cuci,kumbah
cucu,incu
cukup,
cukuplah,cukup
cukur,paras
culik,
cuma,ngan
cuman,ngan
cungkil,cokél
curam,nangtawing
curam,nawing
curi,badog
dada,harigu
dadakan,ngadadak
daerah,wewengkon
daerah,daérah
daerahnya,daérahna
daftar,daptar
dagang,
dagangan,
daging,
dagu,gado
dahak,reuhak
dahlia,
dahulu,baréto
dahulu,tiheula
dahulu,baheula
dalam,jero
dalam,dina
dalamnya,jerona
damai,tengtrem
damar,
dampak,akibat
damping,sanding
dan,sarta
dana,
dangdut,
dangkal,déét
dapat,bisa
dapat,meunangkeun
dapur,pawon
darah,getih
darat,
daratan,
dari,ti
dari,tina
dari-nya,ti Mantenna
daripada,batan
daripada,tinimbang
dasar,
dasarnya,dasarna
data,
data-datanya,data-datana
datang,
datangnya,datangna
debug,nindes
dedak,dedek
dedaunan,dangdaunan
dekade,dékadeu
dekat,landes
dekat,deukeut 
delapan,dalapan
delegasi,
delta,bungin
demam,nyenyepan
demi,demi
demikian,kitu
demografi,démografi
demokrasi,démokrasi
demokrat,démokrat
demokratis,
dengan,kalawan
dengar,déngé
dengarkan,déngékeun
dengki,julig
depan,hareup 
depannya,hareupeunana
depot,dépot
dermaga,darmaga
dermawan,balabah
desa,désa
desain,
desainnya,desainna
desember,désémber
desing,hieng
destinasi,
detail,rinci
detik,
devisa,dévisa
dewa,déwa
dewan,déwan
déwasa,sawawa
di,di
di,dina
dia,manéhna
diacungi,diacungan
diadakan,diayakeun
diadakannya,diayakeunana
diadili,diadilan
diadopsi,
diadukan,dilaporkeun
diagram,
diajak,
diakhiri,ditungtungan
diakhiri,dipungkas
diakibatkan,dibalukarkeun
diaktifkan,diaktifkeun
diakui,diaku
diakuinya,diaku
dialah,manéhna
dialami,dialaman
dialaminya,kaalaman ku manéhna
dialihkan,dipindahkeun
diam,cicing
diam,répéh
diam-diam,rerencepan
diambil,dicokot
dianggap,
dianggarkan,dianggarkeun
diangkat,
diangkut,dikunjal
diantaranya,diantarana
dianut,
diapit,diaping
diarahkan,diarahkeun
diartikan,diartikeun
diasosiasikan,diasosiasikeun
diatasi,ditungkulan
diatur,
diaudit,
diawali,dimimitian
dibaca,
dibacakan,dibacakeun
dibagi,
dibagikan,dibagikeun
dibahas,
dibajak,dibajo
dibakukan,dibakukeun
dibalas,diganjar
dibanding,dibandingkeun
dibandingkan,dibandingkeun
dibangun,diwangun
dibantu,dibantuan
dibarengi,dibarengan
dibatasi,diwatesan
dibawa,
dibebani,dibeungbeuratan
dibebankan,dibeungbeuratkeun
dibebaskan,dileupaskeun
dibebaskan,dileupaskeun
dibeda-bedakan,dibéda-bédakeun
dibedakan,dibédakeun
dibekuk,ditéwak
dibeli,dibeuli
dibenarkan,dibenerkeun
dibentuk,dijieun
dibentuknya,diwangunna
diberantas,ditumpes
diberhentikan,dieureunkeun
diberi,dibéré
diberikan,dibikeun
diberitahu,dibéré nyaho
diberitahukan,dibéjakeun
diberitakan,kacaturkeun
diberitakan,diwartakeun
dibersihkan,dibersihkeun
dibiarkan,diingkeun
dibiasakan,dibiasakeun
dibicarakan,diomongkeun
dibidik,dikécéng
dibilang,diitung
dibolehkan,kaci
diboncengi,diboncéngan
dibongkar,dirakrak
dibuang,dipiceun
dibuat,dijieun
dibuatkan,dipangnyieunkeun
dibuktikan,dibuktikeun
dibungkus,
dibutuhkan,diperlukeun
dicampur,
dicanangkan,diémbarkeun
dicanangkanlah,diémbarkeun
dicapai,dihontal
dicari,ditéang
dicatat,dicatet
dicatat,dicatet
dicatatkan,dicatetkeun
dicegah,dipahing
dicicil,
diciptakan,diciptakeun
diciptakannya,diciptakeunana
diciumi,kalemoh
dicoba,
dicopot,dicoplok
didahulukan,diheulakeun
didampingi,diréndéngan
didapat,dipibanda
didapatkan,beunang
didasari,dumasar
didekati,dideukeutan
didesak,didesek
didikan,atikan
didiskusikan,dibadamikeun
didorong,disurungkeun
diduga,disangka
diduga,disangka
didukung,dirojong
diekstradisi,diékstradisi
diganjar,ginanjar
diganti,digantian
digantikan,digantikeun
digantung,
digarap,disambut
digarap(dibajak)sawah,sambut
digelar,dilaksanakeun
digelorakan,digalurakeun
digerebeg,
digeser-geser,digésér-gésér
digiling,
digital,
digonggongi,digogogan
digoreng,digoréng
digugah,dihudang
digulingkan,digulingkeun
digunakan,dipaké
digunakannya,dipakéna
diguncang,dioyag
dihadapi,disanghareupan
dihadiahi,dikadoan
dihadiran,diluuhan
dihadiri,dihadiran
diharapkan,diharepkeun
dihasilkan,dihasilkeun
dihentikan,dieureunkeun
dihiasi,dipapaésan
dihitung,diitung
dihormati,dipihormat
dihubungi,dihubungan
dihukum,
dihuni,dicicingan
diikuti,dituturkeun
diimbangi,diimbangan
diingat,diinget
diingatkan,diingetan
diinginkan ,dipikahayang
diinjak,diidek
diiringi,dipirig
diisi,dieusi
diizinkan,diidinan
dijadikan,dijadikeun
dijadikan-nya,dijadikeun-Na
dijahit,dikaput
dijalankan,dijalankeun
dijangjikan,dijangjian
dijatuhkan,digubragkeun
dijawab,ditémbalan
dijebloskan,diasupkeun
dijelaskan,dijelaskeun
dijemput,
dijual,
dijuluki,katelahna
dijumpai,ditepungan
dijunjung,dijungjung
dikabulkan,makbul
dikaitkan,dikaitkeun
dikalahkan,diéléhkeun
dikantongi,dikantongan
dikasih,dibéré
dikatakan,disebutkeun
dikecam,dicempad
dikecualikan,diiwalkeun
dikejar,diudag
dikejar-kejar,diudag-udag
dikelola,dikokolakeun
dikeluarkan,dikaluarkeun
dikemanakan,dikamanakeun
dikembalikan,dipulangkeun
dikembalikan,mulangkeun
dikemukakan,diungkabkeun
dikenal,dipikawanoh
dikenali,dipikawanoh
dikendalikan,dikadalikeun
dikendarai,ditumpakan
dikepung,ditingker
dikerahkan,dikaluarkeun
dikeringkan,digaringkeun
dikerjakan,dipigawé
dikerumuni,digembrong
diketahui,dipikanyaho
diketuai,dipupuhuan
dikirim,
dikirimkan,dikirimkeun
diklat,
dikompilasi,
dikontrak,
dikontrakkan,dikontrakkeun
dikoordinasikan,dikoordinasikeun
dikorek-korek,dikorék-korék
dikoreksi,dibenerkeun
dikosongkan,dikosongkeun
dikuasai,dikawasa
dikuasainya,dikawasana
dikunjungi,didatangan
dikuras,dibedahkeun
dilakoni,dilakonan
dilaksanakan,dilaksanakeun
dilakukan,dipigawé
dilakukannya,dipigawé ku manéhna
dilalui,diliwatan
dilancarkan,dilancarkeun
dilanda,katandangan
dilandasi,dumasar kana
dilangkahi,diléngkahan
dilanjutkan,dituluykeun
dilapisi,dilapisan
dilaporkan,dilaporkeun
dilarang,dilarang
dilayani,dilayanan
dilemparkan,dialungkeun
dilengkapi,dilengkepan
dilepas,dileupas
dilepas,diabur
dilihat,ditempo
dilimpahkan,dioperkeun
dilindungi,ditangtayungan
diliputi,dikeputan
dilontarkan,dialungkeun
diluruskan,dilelempeng
dimainkan,dicoo
dimana,di mana
dimana-mana,di mamana
dimanfaatkan,dimangpaatkeun
dimasuki,diasupan
dimasukkan,diasupkeun
dimenangkan,dimeunangkeun
dimiliki,dipiboga
diminta,dipénta
dimodifikasi,
dimulai,dimimitian
dimusnahkan,dibinasakeun
dinaikkan,ditaékkeun
dinamakan,dingaranan
dinamis,
dinas,dines
dinasehati,dipapagahan
dingin,tiris
dingin,tiis
dinginnya,tirisna
dingklik,jojodog
dinilai,dipeunteun
dinyatakan,dinyatakeun
diolah,dikokolakeun
dioperasikan,dioperasikeun
dipagar,dipager
dipagari,dipageran
dipahami,dipahaman
dipakai,dipaké
dipandang,ditempo
dipanggang,dibeuleum
dipanggil,digeroan
dipaparkan,didadarkeun
diparkir,
dipasang,
dipastikan,dipastikeun
dipecahkan,dipeupeuskeun
dipegang,dicekel
dipelihara,dipulasara
dipeluk,dikeukeup
dipengaruhi,dipangaruhan
dipenjara,
dipenuhi,dipinuhan
diperbaiki,dibenerkeun
diperbantukan,dibabantukeun
diperbesar,digedéan
diperbolehkan,meunang
diperbolehkan,kaci
dipercayai,dipercaya
diperdebatkan,disawalakeun
diperebutkan,diparebutkeun
dipergunakan,dipaké
diperhitungkan,diitung
diperiksa,dipariksa
diperkenalkan,diwanohkeun
diperkenankan,diidinan
diperkirakan,kira-kira
diperlihatkan,dipintonkeun
diperlukan,diperlukeun
diperoleh,ditampa
dipersiapkan,disiapkeun
dipersilakan,sina
dipertanyakan,ditatanyakeun
dipertimbangkan,ditimbang-timbang
dipestakan,renceng
dipikir,
dipilah-pilah,diwilah-wilah
dipilih,
dipilihnya,dipilihna
dipimpin,dipingpin
dipimpinnya,dipingpinna
dipinjam,diinjeum
dipoligami,diwayuh
diproduksi,
diproses,diprosés
diprotes,diprotés
dipukul,ditakol
dipukuli,ditakolan
dipusatkan,dipuseurkeun
diputuskan,dipegatkeun
dirahasiakan,dirusiahkeun
diraih,dihontal
dirancang,dirarancang
dirawat,
direalisasikannya,dilaksanakeunana
direbut,
direktur,diréktur
diremajakan,dirumajakeun
diremas-remas,digecek
diresmikan,diresmikeun
diri,diri
dirinya,dirina
dirombak,
dirumuskan,dirumuskeun
dirundung,kapuuk
disahkan,disahkeun
disaksikan,kasaksen
disalin,dicutat
disalurkan,disalurkeun
disamakan,disaruakeun
disamaratakan,disamarutkeun
disambut,dipapag
disampaikan,ditepikeun
disampaikannya,dipangnepikeun
disangkanya,disangkana
disanjung,dipuji
disatukan,dihijikeun
disayangkan,pikalebareun
disebarkan,disebarkeun
disebut,
disebut-sebut,
disebutkan,disebutkeun
disebutnya,disebutna
disediakan,disadiakeun
disekat,dipenggel
diselamatkan,disalametkeun
diselenggarakan,diayakeun
diselesaikan,dipungkas
diselidiki,ditalungtik
disembah,
disembunyikan,disumputkeun
disempurnakan,disampurnakeun
disengat,diseureud
diserahkan,dibikeun
diserap,diserep
disertai,dibarung
disertai,dibarengan
disertai,dibiruyungan
diserukan,dicelukkeun
disesuaikan,disaluyukeun
disetujui,disatujuan
disewakan,diséwakeun
disiapkan,disiapkeun
disimak,diregepkeun
disimpan,ditunda
disini,di dieu
disiplin,
disisakan,disésakeun
disita,dijabél
diskriminasi,
diskusi,sawala
disponsori,disponsoran
disuapi,dihuapan
disuguhi,disuguhan
disurati,disuratan
disuruh,dititah
disusul,
disusun,
ditafsirkan,ditapsirkeun
ditagih,
ditahan,
ditaklukkan,ditalukkeun
ditambah,
ditambahkan,ditambahkeun
ditambal,
ditampari,digaplokan
ditampilkan,dipidangkeun
ditandai,ditandaan
ditandaskan,ditanjeurkeun
ditandatangani,ditandatanganan
ditangani,ditungkulan
ditanggulangi,diungkulan
ditanggung,
ditangkap,ditéwak
ditanya,
ditanyai,ditaros
ditanyakan,ditanyakeun
ditawari,ditawaran
ditawarkan,ditawarkeun
ditebarkan,diawurkeun
ditelepon,
diteliti,ditalungtik
ditelpon,ditelepon
ditelusuri,disusud
ditemani,dibaturan
ditembak,ditémbak
ditembus,
ditempati,ditempatan
ditempatkan,ditempatkeun
ditempel,ditémpél
ditemui,dipanggihan
